"Date","month","day","year","hour","Day.of.Week","weekday","Peakhour","temperature","prediction"
"12/3/2014",12,3,2014,23,3,1,0,39.92,"Optimal"
"12/4/2014",12,4,2014,0,4,1,0,39.02,"Optimal"
"12/4/2014",12,4,2014,1,4,1,0,37.94,"Optimal"
"12/4/2014",12,4,2014,2,4,1,0,37.94,"Optimal"
"12/4/2014",12,4,2014,3,4,1,0,37.04,"Optimal"
"12/4/2014",12,4,2014,4,4,1,0,37.04,"Optimal"
"12/4/2014",12,4,2014,5,4,1,0,33.98,"Optimal"
"12/4/2014",12,4,2014,6,4,1,1,33.98,"Optimal"
"12/4/2014",12,4,2014,7,4,1,1,35.06,"Above_Normal"
"12/4/2014",12,4,2014,8,4,1,1,37.94,"Above_Normal"
"12/4/2014",12,4,2014,9,4,1,1,39.92,"Above_Normal"
"12/4/2014",12,4,2014,10,4,1,1,41,"Above_Normal"
"12/4/2014",12,4,2014,11,4,1,1,42.08,"Above_Normal"
"12/4/2014",12,4,2014,12,4,1,1,42.98,"Above_Normal"
"12/4/2014",12,4,2014,13,4,1,1,42.98,"Above_Normal"
"12/4/2014",12,4,2014,14,4,1,1,42.08,"Above_Normal"
"12/4/2014",12,4,2014,15,4,1,1,39.92,"Optimal"
"12/4/2014",12,4,2014,16,4,1,1,37.04,"Optimal"
"12/4/2014",12,4,2014,17,4,1,1,35.96,"Optimal"
"12/4/2014",12,4,2014,18,4,1,1,33.98,"Optimal"
"12/4/2014",12,4,2014,19,4,1,0,33.08,"Optimal"
"12/4/2014",12,4,2014,20,4,1,0,32,"Optimal"
"12/4/2014",12,4,2014,21,4,1,0,30.92,"Optimal"
"12/4/2014",12,4,2014,22,4,1,0,30.02,"Optimal"
"12/4/2014",12,4,2014,23,4,1,0,30.02,"Optimal"
"12/5/2014",12,5,2014,0,5,1,0,28.94,"Optimal"
"12/5/2014",12,5,2014,1,5,1,0,28.04,"Optimal"
"12/5/2014",12,5,2014,2,5,1,0,28.04,"Optimal"
"12/5/2014",12,5,2014,3,5,1,0,26.96,"Optimal"
"12/5/2014",12,5,2014,4,5,1,0,26.96,"Optimal"
"12/5/2014",12,5,2014,5,5,1,0,26.96,"Optimal"
"12/5/2014",12,5,2014,6,5,1,1,26.06,"Optimal"
"12/5/2014",12,5,2014,7,5,1,1,26.96,"Above_Normal"
"12/5/2014",12,5,2014,8,5,1,1,30.02,"Above_Normal"
"12/5/2014",12,5,2014,9,5,1,1,32,"Above_Normal"
"12/5/2014",12,5,2014,10,5,1,1,35.96,"Above_Normal"
"12/5/2014",12,5,2014,11,5,1,1,37.94,"Above_Normal"
"12/5/2014",12,5,2014,12,5,1,1,42.08,"Above_Normal"
"12/5/2014",12,5,2014,13,5,1,1,42.08,"Above_Normal"
"12/5/2014",12,5,2014,14,5,1,1,41,"Above_Normal"
"12/5/2014",12,5,2014,15,5,1,1,39.92,"Optimal"
"12/5/2014",12,5,2014,16,5,1,1,39.92,"Optimal"
"12/5/2014",12,5,2014,17,5,1,1,39.92,"Optimal"
"12/5/2014",12,5,2014,18,5,1,1,41,"Optimal"
"12/5/2014",12,5,2014,19,5,1,0,41,"Optimal"
"12/5/2014",12,5,2014,20,5,1,0,41,"Optimal"
"12/5/2014",12,5,2014,21,5,1,0,41,"Optimal"
"12/5/2014",12,5,2014,22,5,1,0,39.92,"Optimal"
"12/5/2014",12,5,2014,23,5,1,0,39.56,"Optimal"
"12/6/2014",12,6,2014,0,6,0,0,39.74,"Optimal"
"12/6/2014",12,6,2014,1,6,0,0,40.1,"Optimal"
"12/6/2014",12,6,2014,2,6,0,0,42.08,"Optimal"
"12/6/2014",12,6,2014,3,6,0,0,42.86,"Optimal"
"12/6/2014",12,6,2014,4,6,0,0,44.42,"Optimal"
"12/6/2014",12,6,2014,5,6,0,0,44.78,"Optimal"
"12/6/2014",12,6,2014,6,6,0,1,44.78,"Optimal"
"12/6/2014",12,6,2014,7,6,0,1,44.72,"Optimal"
"12/6/2014",12,6,2014,8,6,0,1,41,"Optimal"
"12/6/2014",12,6,2014,9,6,0,1,39.14,"Optimal"
"12/6/2014",12,6,2014,10,6,0,1,37.94,"Optimal"
"12/6/2014",12,6,2014,11,6,0,1,39.02,"Optimal"
"12/6/2014",12,6,2014,12,6,0,1,39.02,"Optimal"
"12/6/2014",12,6,2014,13,6,0,1,39.56,"Optimal"
"12/6/2014",12,6,2014,14,6,0,1,39.92,"Optimal"
"12/6/2014",12,6,2014,15,6,0,1,41,"Optimal"
"12/6/2014",12,6,2014,16,6,0,1,41,"Optimal"
"12/6/2014",12,6,2014,17,6,0,1,41,"Optimal"
"12/6/2014",12,6,2014,18,6,0,1,39.02,"Optimal"
"12/6/2014",12,6,2014,19,6,0,0,39.02,"Optimal"
"12/6/2014",12,6,2014,20,6,0,0,39.02,"Optimal"
"12/6/2014",12,6,2014,21,6,0,0,39.02,"Optimal"
"12/6/2014",12,6,2014,22,6,0,0,37.94,"Optimal"
